generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
S-NG_CC,2025061500,3664.42097837,4.7,10.30005,42186.120786,S-NG_CC,NaturalGas,South,NG_CC,2020,2191.5
C-Wind-2,2025061500,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
S-Residential_PV,2025011612,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
S-Commercial_PV,2035011512,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2030,8766.0
N-Biomass_IGCC_CCS,2025011600,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.744
C-Central_PV-2,2025011600,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
N-Nuclear,2025011500,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
S-Central_PV-1,2025011512,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
C-Commercial_PV,2025011600,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
N-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.744
N-NG_CC_CCS,2025011500,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.744
S-Central_PV-1,2025011600,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
N-Wind-2,2025011600,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.744
C-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2030,8766.0
N-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.744
S-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,2191.5
N-Coal_IGCC,2025061512,-7.39048838128e-13,-4.4408920985e-16,-9.73221503386e-16,-5.9193278279e-12,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
S-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,1095.744
N-Wind-1,2025011600,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
C-NG_CC,2025011600,908.127561258,2.32954834318,2.55258861975,6969.79217445,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
C-Nuclear,2025011600,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
S-NG_GT,2025011500,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
S-Residential_PV,2025011600,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
N-Residential_PV,2035011512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2030,8766.0
C-Residential_PV,2025011600,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.744
N-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.744
C-Central_PV-2,2025061512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
N-Residential_PV,2025011612,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.744
S-Geothermal,2035011512,0.0,2.90574225,25.4717365635,881220.198151,S-Geothermal,Geothermal,South,Geothermal,2030,8766.0
N-Nuclear,2025011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
N-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.744
S-Central_PV-1,2035011512,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2030,8766.0
S-Geothermal,2025011612,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
N-NG_CC_CCS,2025061512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,2191.5
C-Biomass_IGCC,2025011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.744
N-Coal_IGCC_CCS,2025061512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,2191.5
N-Coal_ST,2025011600,1593.84572965,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.744
C-Coal_ST,2025061500,3364.80385392,1.692,3.708018,13348.8648,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
S-Commercial_PV,2025011512,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,1095.744
N-Residential_PV,2025011512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.744
S-Central_PV-2,2025011612,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,1095.744
N-Wind-1,2025061512,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
C-Coal_IGCC,2025011600,-3.69522395658e-13,-4.4408920985e-16,-4.86608087158e-16,-2.36771816617e-12,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
N-NG_CC,2025061500,1253.01294393,1.60711907045,3.52200144289,12020.9431247,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
C-Wind-2,2025011512,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-NG_GT,2025011512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
C-Central_PV-1,2025061500,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
S-NG_CC,2025011600,1542.96153838,3.95803810903,4.33699650974,17763.1233449,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
N-Commercial_PV,2025011512,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.744
N-NG_GT,2035011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2030,8766.0
S-NG_CC,2025061512,3664.42097837,4.7,10.30005,42186.120786,S-NG_CC,NaturalGas,South,NG_CC,2020,2191.5
C-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
S-NG_CC_CCS,2025011512,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,1095.744
N-Central_PV-1,2025061512,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,2191.5
S-Biomass_IGCC_CCS,2025011600,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,1095.744
N-Nuclear,2035011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2030,8766.0
S-Biomass_IGCC,2025061500,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,2191.5
C-NG_GT,2025061500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
S-Central_PV-1,2025011612,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
N-Wind-2,2025061500,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,2191.5
N-Coal_IGCC_CCS,2025011600,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.744
C-Wind-1,2025011500,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.744
C-Coal_ST,2025011512,1682.39271463,1.692,1.853998848,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.744
C-NG_CC,2025011612,698.843546758,1.79268848997,1.96432765675,5363.55738021,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
N-Wind-1,2025061500,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,2191.5
N-NG_CC,2025011512,609.414854612,1.56328408633,1.71295915789,5846.50090178,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.744
C-Wind-2,2025011500,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-NG_GT,2035011512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2030,8766.0
N-Biomass_IGCC_CCS,2035011512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2030,8766.0
C-Residential_PV,2025061512,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,2191.5
N-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
S-NG_CC_CCS,2025061500,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,2191.5
C-Commercial_PV,2035011512,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2030,8766.0
N-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2030,8766.0
S-Biomass_IGCC_CCS,2025061512,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,2191.5
C-NG_GT,2025061512,2271.33983387,1.88,4.12002,91652.316912,C-NG_GT,NaturalGas,Central,NG_GT,2020,2191.5
N-Geothermal,2035011512,0.0,0.96858075,8.4905788545,244783.388375,N-Geothermal,Geothermal,North,Geothermal,2030,8766.0
N-Coal_IGCC,2025011512,-3.69522395658e-13,-4.4408920985e-16,-4.86608087158e-16,-2.95964770771e-12,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.744
C-Wind-1,2025061512,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Coal_IGCC,2025011612,-3.69522395658e-13,-4.4408920985e-16,-4.86608087158e-16,-2.36771816617e-12,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
C-NG_CC,2035011512,17358.1692413,5.56591313579,48.7907945483,133222.288698,C-NG_CC,NaturalGas,Central,NG_CC,2030,8766.0
C-Nuclear,2035011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2030,8766.0
S-NG_CC,2025011612,1831.11456801,4.69721445539,5.1469445562,21080.4437577,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
C-Wind-2,2025011612,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-Residential_PV,2035011512,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2030,8766.0
N-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.744
C-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
N-NG_GT,2025011612,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.744
S-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,2191.5
N-Coal_ST,2025011500,1593.84572965,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.744
C-Commercial_PV,2025011612,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
S-Geothermal,2025011600,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
N-NG_CC_CCS,2025011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.744
S-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,1095.744
C-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,2191.5
S-Commercial_PV,2025061512,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,2191.5
N-Coal_IGCC,2035011512,-2.95619535251e-12,-4.4408920985e-16,-3.89288601355e-15,-2.36773113116e-11,N-Coal_IGCC,Coal,North,Coal_IGCC,2030,8766.0
S-Geothermal,2025061500,0.0,2.90574225,6.36793414087,220305.049538,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
N-Wind-1,2025011512,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
C-Coal_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2030,8766.0
C-NG_CC,2025011512,575.349391202,1.47589862724,1.61720706541,4415.75154796,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
C-Nuclear,2025011512,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
C-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.744
S-NG_CC,2035011512,0.0,0.0,0.0,0.0,S-NG_CC,NaturalGas,South,NG_CC,2030,8766.0
S-Residential_PV,2025011512,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
C-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
N-Commercial_PV,2025061512,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,2191.5
C-Residential_PV,2025011500,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.744
N-Nuclear,2025011600,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
C-NG_GT,2025011500,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.744
C-Commercial_PV,2025011500,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
N-Coal_ST,2025061500,3187.70891424,1.692,3.708018,12607.2612,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
N-NG_CC_CCS,2035011512,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2030,8766.0
N-Wind-2,2025011500,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.744
C-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.744
N-Coal_IGCC_CCS,2035011512,7.55935669724e-13,5.7982968513e-16,5.08278701985e-15,5.01061144417e-11,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2030,8766.0
S-Geothermal,2025011512,0.0,2.90574225,3.18394963598,110151.921607,S-Geothermal,Geothermal,South,Geothermal,2020,1095.744
C-Coal_ST,2025061512,3364.80385392,1.692,3.708018,13348.8648,C-Coal_ST,Coal,Central,Coal_ST,2020,2191.5
N-NG_GT,2025011512,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.744
N-Coal_IGCC,2025011612,-3.69522395658e-13,-4.4408920985e-16,-4.86608087158e-16,-2.95964770771e-12,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.744
N-Wind-1,2025011500,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
C-Coal_IGCC,2025011512,-3.69522395658e-13,-4.4408920985e-16,-4.86608087158e-16,-2.36771816617e-12,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,1095.744
N-NG_CC,2025061512,1465.76839135,1.88,4.12002,14062.040262,N-NG_CC,NaturalGas,North,NG_CC,2020,2191.5
C-Nuclear,2025011500,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
S-NG_GT,2025011600,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
C-Central_PV-1,2025061512,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,2191.5
S-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2030,8766.0
S-NG_CC,2025011512,1748.78513097,4.48602121357,4.91553082864,20132.6379255,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.744
S-Residential_PV,2025011500,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
C-Central_PV-2,2025011612,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
S-NG_CC_CCS,2025011500,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,1095.744
